Category,Sub-Category,Total Supply,Available at Launch,Cliff Period
Genesis Drop,Community Airdrop,10%,0%,3 months
Genesis Drop,Non-Profit-Organizations Airdrop,10%,0%,3 months
Genesis Drop,Strategic Reserve,10%,0%,3 months
Community Pool,Providing Liquidity (Locked-on-chain),20%,20%,3 months
Blockchain Eco-System Development,Econ-System Incentive,10%,0%,6 months
Blockchain Eco-System Development,Marketing,3%,0%,6 months
Blockchain Eco-System Development,Non-Profit Grants,5%,0%,6 months
Blockchain Eco-System Development,DAPP Emergency Fund,2%,0%,6 months
Core Team,Core Dev-compensation,4%,0%,6 months
Core Team,Core Dev-Future recuite,6%,0%,12 months
Private Sale,Seed Round,2%,0%,6 months
Private Sale,Early Stage,2%,0%,6 months
Private Sale,Expansion Stage,3%,0%,6 months
Private Sale,Late Stage,3%,0%,6 months
Future Development Plan,Non-Profit Partnership,5%,0%,12 months
Future Development Plan,New Innovation,5%,0%,24 months
